CO2air,CO2top,VPair,VPtop
1033.1067178526441,673.8507434140807,2254.97484274892,2142.2194323563385
1033.6117048966844,673.8588971900904,2268.660789366094,2149.1113779915945
1034.0962264966984,673.8667064759463,2256.451563236301,2142.59519102353
1033.0016404800547,672.888354639314,2268.9735901189874,2150.193600947979
1031.9438445719743,672.8712877751032,2273.9375567428942,2154.346023896786
1030.9178455456265,672.857467512645,2257.9607099001164,2144.3514771030386
1029.9325942881542,672.8442081813597,2269.5802742915025,2151.1481274384823
1029.6807806735194,673.2310416370905,2256.5971206656086,2143.1429482681724
1029.437827105679,673.2292826068126,2251.9545154453353,2138.5653552275944
1029.2003648997916,673.2258321804928,2241.359467190229,2130.2223119539617
1028.9707141582082,673.2224892946364,2237.5282330190844,2125.4621817446073
1028.751123810073,673.2192946970845,2244.639695475811,2128.488107698581
1028.5362515428558,673.2161650413341,2238.7162022936527,2124.49321391936
1028.3259533686276,673.2131019251872,2227.699334404399,2116.5064856785702
1028.1250682441596,673.210179626567,2232.309424655481,2117.6492370887704
1027.7880089974171,673.1226842794182,2225.3718161859933,2112.5377855877023
1027.4645440627914,673.1177082133191,2231.359998189523,2115.4183039401973
1027.1493465484682,673.1131904828753,2225.0218521662655,2111.283588511958
1026.8421525001495,673.1087887852766,2213.9014110771222,2103.200208062828
1026.5427063904278,673.1044980481145,2201.0999488004695,2092.9170795476707
1026.253224571263,673.1003517630047,2196.5079380004017,2087.1049981492656
1025.9709114170205,673.0963064179753,2186.123751750477,2078.150790882976
1025.7004571926261,673.0924344099151,2190.7990091735473,2078.7700151750414
1025.4340835087896,673.0886156254531,2175.2992574787663,2067.808987196239
1025.1741311753603,673.0848905043996,2161.110012577879,2055.9904084147215
1024.091768683478,672.6279758331766,2164.2732689636787,2054.793188005446
1023.0400270650355,672.6131407770971,2139.570111584149,2036.2433299857785
1022.0281108977342,672.5999175314864,2139.411211254146,2032.2604015227807
1022.4305577087086,673.3842672211233,2139.6055239970146,2030.478488910113
1022.8238784673069,673.3948967135864,2147.848256310583,2034.754216798145
1023.2071741679824,673.400792583189,2159.233219586675,2042.6148619241237
1023.5783031509661,673.4064725335496,2163.7584863399943,2047.2329454568348
1023.2445614205694,672.9795566629379,2165.3894388784934,2050.0508508320404
