MC_AirCan:0.18450192006431562, MC_AirTop:0.0, MC_AirOut:-0.0294400000107288, 
MC_AirCan:0.17947823226895587, MC_AirTop:-0.0106660513491631, MC_AirOut:-0.03415767366808357, 
MC_AirCan:0.17945043728256602, MC_AirTop:-0.01067446075347643, MC_AirOut:-0.034184604569533907, 
MC_AirCan:0.1794226391037466, MC_AirTop:-0.010682866214880835, MC_AirOut:-0.03421152284392582, 
MC_AirCan:0.17939483773852755, MC_AirTop:-0.010691267734211763, MC_AirOut:-0.034238428493934804, 
MC_AirCan:0.1793670331929448, MC_AirTop:-0.010699665312304828, MC_AirOut:-0.03426532152223687, 
MC_AirCan:0.17933922547304004, MC_AirTop:-0.010708058949995786, MC_AirOut:-0.03429220193150855, 
MC_AirCan:0.17931141458486088, MC_AirTop:-0.010716448648120571, MC_AirOut:-0.034319069724426866, 
MC_AirCan:0.17928360053446082, MC_AirTop:-0.01072483440751526, MC_AirOut:-0.034345924903669334, 
MC_AirCan:0.1792557833278993, MC_AirTop:-0.010733216229016095, MC_AirOut:-0.034372767471913986, 
MC_AirCan:0.17922796297124155, MC_AirTop:-0.010741594113459473, MC_AirOut:-0.03439959743183938, 
MC_AirCan:0.17920013947055877, MC_AirTop:-0.010749968061681959, MC_AirOut:-0.034426414786124564, 
MC_AirCan:0.1791723128319279, MC_AirTop:-0.010758338074520271, MC_AirOut:-0.03445321953744911, 
[-3.34901888e-02 -2.58756409e-05 -2.73287953e-02  1.39937334e-03]
[ 452.49992695  667.83401    2192.05314772 2065.06824222]

MC_AirCan:0.17935262418108974, MC_AirTop:-0.010766704152811281, MC_AirOut:-0.03448001168849311, 
MC_AirCan:0.1793248116626935, MC_AirTop:-0.010775083613397542, MC_AirOut:-0.03450683287016106, 
MC_AirCan:0.17929699597585366, MC_AirTop:-0.010783457391643478, MC_AirOut:-0.034533641449196885, 
MC_AirCan:0.17926917712628032, MC_AirTop:-0.010791826196836135, MC_AirOut:-0.03456043742862389, 
MC_AirCan:0.17924135511983602, MC_AirTop:-0.01080019045102092, MC_AirOut:-0.03458722081132405, 
MC_AirCan:0.1792135299624765, MC_AirTop:-0.010808550405463732, MC_AirOut:-0.03461399160009555, 
MC_AirCan:0.17918570166021508, MC_AirTop:-0.010816906209893534, MC_AirOut:-0.034640749797686936, 
MC_AirCan:0.17915787021910196, MC_AirTop:-0.010825257953670555, MC_AirOut:-0.03466749540681746, 
MC_AirCan:0.17913003564521152, MC_AirTop:-0.010833605690262833, MC_AirOut:-0.03469422843018919, 
MC_AirCan:0.179102197944635, MC_AirTop:-0.010841949451798763, MC_AirOut:-0.034720948870494144, 
MC_AirCan:0.1790743571234759, MC_AirTop:-0.010850289257719336, MC_AirOut:-0.034747656730418616, 
MC_AirCan:0.1790465131878477, MC_AirTop:-0.01085862511992228, MC_AirOut:-0.03477435201264568, 
MC_AirCan:0.1790186661438718, MC_AirTop:-0.010866957045820564, MC_AirOut:-0.03480103471985674, 
MC_AirCan:0.17899081599767705, MC_AirTop:-0.010875285040160802, MC_AirOut:-0.034827704854732376, 
MC_AirCan:0.17896296275539883, MC_AirTop:-0.010883609106104392, MC_AirOut:-0.03485436241995293, 
MC_AirCan:0.17893510642317897, MC_AirTop:-0.0108919292458703, MC_AirOut:-0.0348810074181988, 
MC_AirCan:0.1789072470071655, MC_AirTop:-0.010900245461117246, MC_AirOut:-0.03490763985215062, 
MC_AirCan:0.1788793845135124, MC_AirTop:-0.010908557753170922, MC_AirOut:-0.034934259724489394, 
MC_AirCan:0.17885151894837964, MC_AirTop:-0.01091686612315908, MC_AirOut:-0.03496086703789656, 
MC_AirCan:0.1788236503179331, MC_AirTop:-0.010925170572091856, MC_AirOut:-0.03498746179505403, 
MC_AirCan:0.17879577862834461, MC_AirTop:-0.010933471100909524, MC_AirOut:-0.03501404399864418, 
MC_AirCan:0.1787679038857918, MC_AirTop:-0.010941767710510891, MC_AirOut:-0.035040613651349944, 
MC_AirCan:0.17874002609645828, MC_AirTop:-0.010950060401770177, MC_AirOut:-0.03506717075585473, 
MC_AirCan:0.17871214526653337, MC_AirTop:-0.010958349175547048, MC_AirOut:-0.0350937153148425, 
MC_AirCan:0.17868426140221233, MC_AirTop:-0.010966634032692588, MC_AirOut:-0.03512024733099772, 
MC_AirCan:0.17865637450969626, MC_AirTop:-0.010974914974052842, MC_AirOut:-0.035146766807005424, 
MC_AirCan:0.17862848459519212, MC_AirTop:-0.010983192000470937, MC_AirOut:-0.035173273745551153, 
MC_AirCan:0.17860059166491268, MC_AirTop:-0.010991465112788323, MC_AirOut:-0.035199768149320985, 
MC_AirCan:0.1785726957250765, MC_AirTop:-0.01099973431184552, MC_AirOut:-0.03522625002100155, 
MC_AirCan:0.17854479678190802, MC_AirTop:-0.011007999598482579, MC_AirOut:-0.035252719363279984, 
MC_AirCan:0.17851689484163752, MC_AirTop:-0.01101626097353932, MC_AirOut:-0.03527917617884402, 
MC_AirCan:0.17848898991050113, MC_AirTop:-0.011024518437855506, MC_AirOut:-0.035305620470381875, 
MC_AirCan:0.1784610819947407, MC_AirTop:-0.011032771992270938, MC_AirOut:-0.03533205224058233, 
MC_AirCan:0.17843317110060405, MC_AirTop:-0.011041021637625499, MC_AirOut:-0.035358471492134703, 
MC_AirCan:0.17840525723434464, MC_AirTop:-0.011049267374759192, MC_AirOut:-0.03538487822772887, 
MC_AirCan:0.1783773404022218, MC_AirTop:-0.011057509204512173, MC_AirOut:-0.035411272450055244, 
MC_AirCan:0.17834942061050083, MC_AirTop:-0.011065747127724734, MC_AirOut:-0.03543765416180477, 
MC_AirCan:0.1783214978654526, MC_AirTop:-0.011073981145237343, MC_AirOut:-0.035464023365668965, 
MC_AirCan:0.17829357217335387, MC_AirTop:-0.011082211257890627, MC_AirOut:-0.035490380064339876, 
MC_AirCan:0.17826564354048724, MC_AirTop:-0.011090437466525379, MC_AirOut:-0.03551672426051009, 
